timestamp,value-0,value-1,value-2,reconstructionError-0,reconstructionError-1,reconstructionError-2,is_anomaly
0,-0.0258916266267248,0.8070841053545774,0.9275299289220904,0.1867700964212417,0.4898000657558441,0.8442341089248657,0
1,0.3551860003843508,0.2909216746846444,0.8655552472702818,0.1441246271133422,0.5061747431755066,0.8636407852172852,0
2,0.972662166518077,0.0958753778948682,1.2144679434896597,0.1496715545654297,0.446204662322998,0.920744240283966,0
3,0.9332187752449744,0.6423892120362559,0.9884981618737804,0.1904553472995758,0.4715279638767242,0.9009308218955994,0
4,0.3583876748650604,0.5057448890096286,1.051660484362754,0.1833547204732895,0.5199489593505859,0.8507803082466125,0
5,-0.0713918672758658,-0.0229538725760144,0.9935066659039936,0.1957138031721115,0.4765459597110748,0.8444137573242188,0
6,0.307290482628519,0.5287551135232961,0.9141961048758922,0.1627616584300995,0.442588061094284,0.8422151803970337,0
7,0.9703860785499604,0.655613242706353,0.8763796530872692,0.1706164926290512,0.5097837448120117,0.8189560770988464,0
8,0.8950548894918315,0.0735607338653452,1.1553191685033717,0.2070857137441635,0.494852751493454,0.8121971487998962,0
9,0.3701892670805917,0.2989123719420268,0.985938988789585,0.1941440105438232,0.4346661269664764,0.7849770784378052,0
10,-0.0240086506134854,0.7189322588432235,0.9796179830234272,0.19404336810112,0.4172168672084808,0.7936549782752991,0
11,0.3272166336929508,0.2808161585023474,0.97828260057798,0.1937290728092193,0.4160819947719574,0.8115320205688477,0
12,0.9033038385798888,0.0758022788140656,1.1715534182294585,0.1848480552434921,0.414995402097702,0.8032622337341309,0
13,0.9112069243738392,0.6273866877812162,0.995370104491865,0.1820855885744094,0.4125218391418457,0.8045560121536255,0
14,0.2719943977866461,0.4379174209616782,0.8750077064351003,0.1816003173589706,0.403776466846466,0.7762301564216614,0
15,0.0102256323643668,0.0198738029254246,0.9960407994197512,0.1765216290950775,0.4056244492530823,0.7759852409362793,0
16,0.391920704351787,0.4569379326873544,0.9546674297232088,0.177578717470169,0.3951852917671203,0.7819361090660095,0
17,0.8519876184252455,0.6866952292480433,0.8332478689349242,0.1630004495382309,0.4010346531867981,0.7764862179756165,0
18,0.7918093736846243,0.0863792917085118,0.942124255475418,0.1517817229032516,0.4020214974880218,0.7392013669013977,0
19,0.3220540634547519,0.264959703541021,1.0103805491893796,0.1512118130922317,0.3986920714378357,0.7437857985496521,0
20,0.081702655350482,0.7524669293063811,0.9821826054152458,0.1458465605974197,0.4047089219093323,0.743374764919281,0
21,0.3365362174076581,0.2207841969506716,0.9485863258812692,0.1459338217973709,0.3991281986236572,0.738520085811615,0
22,0.9371244748796224,0.0827781959508717,1.0087059625617432,0.150280550122261,0.3996158540248871,0.7081013917922974,0
23,0.9347640500561653,0.669251393709682,0.974434730665584,0.153245210647583,0.4067249894142151,0.7044556736946106,0
24,0.349265961542863,0.5053951177322155,1.1034250314387637,0.1536060273647308,0.4153366684913635,0.7424489855766296,0
25,-0.0025864215553422,-0.0160306713834745,1.0716590934128989,0.1543433517217636,0.4136746525764465,0.7562763690948486,0
26,0.3332104853184084,0.4188688147445435,1.0843047058090571,0.1534522622823715,0.4086058735847473,0.7794027328491211,0
27,0.9260037972400368,0.6820340434150644,0.8894709557845217,0.1622169613838195,0.407449334859848,0.7869545221328735,0
28,0.911200940532292,0.0687114064725001,0.9547512911950952,0.1755455434322357,0.4063198268413543,0.788284182548523,0
29,0.3520551386938298,0.2779645136267717,1.058222465292334,0.1758416146039962,0.4074674546718597,0.7965420484542847,0
30,-0.052768739559516,0.7441920555125395,0.8070442031816857,0.18297179043293,0.4068405628204345,0.7705733180046082,0
31,0.3777196739200837,0.2574637492020601,0.9976190331794392,0.1835440993309021,0.4100480675697326,0.7783753275871277,0
32,0.9285277005642693,0.064499773116389,0.9823461169166968,0.1824707090854644,0.4090432226657867,0.7740493416786194,0
33,0.9224097258877436,0.6275850976210706,0.8890620386747554,0.1809768229722976,0.4021594226360321,0.7609955072402954,0
34,0.2969982194722008,0.4902342873743741,1.0899616160705052,0.1806073933839798,0.4001602232456207,0.7588918805122375,0
35,0.0359065719372173,0.0299616604572282,1.0117259632261804,0.1785476505756378,0.4022893607616424,0.7475964426994324,0
36,0.3271053705744438,0.532372435714756,0.9582182088885292,0.1785009354352951,0.4181881844997406,0.7253864407539368,0
37,0.9007284633591056,0.7378644270145394,1.0118181397187624,0.1752762645483017,0.4281682968139648,0.7447828054428101,0
38,0.7858946418960109,0.0342678757361119,0.9683281822475244,0.161354586482048,0.4264543652534485,0.7477917075157166,0
39,0.2333864592670309,0.2652407573158132,0.8667204208240282,0.1611968129873275,0.4256891310214996,0.7171022891998291,0
40,-0.0290049233247022,0.7624903330998791,1.041090373135474,0.1597697436809539,0.4284854829311371,0.7542463541030884,0
41,0.3451460528190572,0.2485663541366368,1.0169501124353062,0.1592849940061569,0.4276777803897857,0.7578350305557251,0
42,0.9086693013545886,0.0889728904257261,1.0547988141957907,0.1567460745573043,0.4290364682674408,0.7703578472137451,0
43,0.8645661297404524,0.6548860903040423,0.905541323398731,0.1497983485460281,0.4337626099586487,0.7730826735496521,0
44,0.3553867834315447,0.5195981361427879,1.0503808418814295,0.1502506732940673,0.4379127919673919,0.7652882933616638,0
45,-0.0261410651046156,0.0492356307094763,0.877195289225806,0.1536300331354141,0.4390969276428222,0.743626594543457,0
